year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2022,-.09864941,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2007,-.65419376,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2009,9.7063656,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2013,-.46590695,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2006,76.372543,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2025,-2.5229959,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2019,2.0412357,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2023,-17.1803,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2005,3.4978745,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
2005,1.7133356,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2008,13.8423,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2008,78.026306,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2026,5.5,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2020,15.457028,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2011,28.490623,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2005,1.2414674,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2021,-7.6661248,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2005,.52556938,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2005,15.941013,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2024,54.584705,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2011,52.010769,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2008,.21620061,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2005,80.360535,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2005,0,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2008,.72701311,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2008,-.18292658,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2020,105.58546,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2008,2.5395033,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2020,-8.9300003,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2018,10.020632,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2021,-1.6557058,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2020,3.5960608,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2006,16.737629,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2020,36.860676,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2007,29.795481,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2020,-15.882139,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2020,-.49949646,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2006,-5.3343916,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2015,3.9760532,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2020,-4.0234551,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2007,7.1648946,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2007,-.04354344,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2021,15.820842,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2007,5.9000068,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2016,3.1511097,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2011,.63031578,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2024,4.0174756,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
2021,4.7106676,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
2026,8.8568277,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2014,10.870476,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2017,8.7977142,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2022,10.796494,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2012,5.8517566,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2007,3.4115601,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2024,5.4000001,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2020,-1.8784,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2010,83.920464,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2018,29.463896,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2013,30.921886,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2007,1.555212,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2015,100,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2021,7.9669571,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2018,-7.1419516,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2009,3.6677339,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2020,-2.3696206,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2022,3.8153999,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2009,13.754774,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2006,29.930313,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2011,-.41284037,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2021,11.361098,"NPL","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,226,"14 Aug 2024"
2017,-.43884641,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2015,1.4156047,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2026,1.0217533,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2005,16.672987,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2026,83.994003,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2013,32.979828,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2012,92.299904,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2007,35.901455,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2024,37.132401,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2005,29.060812,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2017,12.857923,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2013,8.7589836,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2025,1.5857539,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2006,43.186333,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2008,1.5530617,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2022,107.33033,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2016,9.9525003,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2012,20.192961,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2024,132.86568,"NPL","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Nepal","NPL","South Asia","Lower middle income","IDA",124,218,"14 Aug 2024"
2025,9.2068176,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2025,1.4780604,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2025,109.56342,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2008,1.8533735,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2006,-1.2937198,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2005,0,"NPL","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,205,"14 Aug 2024"
2025,16.505749,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2022,6.3460155,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2020,10.988041,"NPL","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,226,"14 Aug 2024"
2019,76.034943,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2025,4.5999999,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2006,1.7818724,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
2017,.45333868,"NPL","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,206,"14 Aug 2024"
2020,1.9668827,"NPL","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,205,"14 Aug 2024"
2024,3.9341722,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2009,78.875175,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2023,130.74504,"NPL","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Nepal","NPL","South Asia","Lower middle income","IDA",124,218,"14 Aug 2024"
2007,14.581315,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2023,1.1388912,"NPL","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,205,"14 Aug 2024"
2007,3.1651797,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2010,79.940712,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2016,-3.9074337,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2022,34.060062,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2019,-.36616769,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2007,7.5847487,"NPL","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,226,"14 Aug 2024"
2018,107.48501,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2007,4.6448226,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
2010,.69581187,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2017,22.673271,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2025,3.7,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2009,3.0195491,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
2012,1.396026,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2010,16.616121,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2005,.54555756,"NPL","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,206,"14 Aug 2024"
2023,54.208202,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2006,.62431896,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2010,11.752962,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2012,-.52294749,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2006,.75574398,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2022,2.4377811,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2006,4.4704399,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2015,7.2098632,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2009,.8574841,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2018,74.992622,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2017,4.4413118,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2024,43.627037,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2012,4.6701417,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2026,1.4329627,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2020,116.311,"NPL","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Nepal","NPL","South Asia","Lower middle income","IDA",124,218,"14 Aug 2024"
2011,9.5805149,"NPL","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,204,"14 Aug 2024"
2009,12.632813,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2011,-.41824353,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
